,X,Y,FID,Title,Type,Address,Latitude,Longitude,Artist_Last_,Artist_First,Additional_Artists,Media,Year_Created,Year_Erected,TNT_Area,Neighborhood,Specific_Location,Image_Url,place_id,lat,lng,restaurant
35,-76.157148,43.048891,36,Current,Sculpture,"Onondaga Creek Walk Syracuse,NY",43.048891,-76.157148,Hancock,Blessing,,Stainless steel,2016.0,2017.0,Downtown,Armory Square,Onondaga Creek between Warehouse and Marriott Hotel Parking garage,,ChIJdQIYzM7z2YkRPDWdArRTyEc,43.0584324,-76.1647887,Decir Algo
36,-76.149032,43.044626,37,DecoRated Wall,Mural,"235 Harrison Street Syracuse,NY",43.044626,-76.149032,Meyer,Mike,,Auto paint on steel panels,2017.0,2017.0,Downtown,Downtown,AXA Parking Garage curved wall facing Montgomery St,,ChIJbTFWfL7z2YkRPl-pPSndw3E,43.0446324,-76.14993559999999,Ale 'n' Angus Pub
37,-76.14676,43.047932,38,Mighty Salt City,Mural,"420 E. Genesee Street Syracuse,NY",43.047932,-76.14676,Valenzuela,Cayetano,,Acrylic,2016.0,2016.0,Downtown,Downtown,West façade of 420 E. Genesee St,,ChIJF53kn7vz2YkRStRmpwfdJ9g,43.0478979,-76.14653559999999,City Hall Cafe
38,-76.147016,43.053341,39,Rose of No Man's Land,Mural,"457 James Street Syracuse,NY",43.053341,-76.147016,Roe ,Paul,Elliott Mattice,Acrylic,2016.0,2016.0,Downtown,Downtown,East façade of 457 James Street,,ChIJlV6n-rDz2YkRagBY-NLG6J8,43.05332629999999,-76.1470792,OIP-Original Italian Pizza
39,-76.145404,43.047782,40,Immersive Cloud,Sculpture,"500 E. Genesee Street Syracuse,NY",43.047782,-76.145404,Park,Daekwon ,,Galvanized and stainless steel,2017.0,2017.0,Downtown,Downtown,SE Corner of Townsend and E. Genesee Street,,ChIJXWQraLvz2YkRrXpeQvWOBoA,43.0473745,-76.14495579999999,City Hall Cafe
40,-76.141889,43.046871,41,Syracuse Writers,Sculpture,"700 block E. Genesee Street Syracuse,NY",43.046871,-76.141889,Sisko,Joseph,,Aluminum panels,2019.0,,Eastside,Eastside,"Along city-owned fence, south side of E. Genesee St across from Forman Park",,ChIJX6_XmqTz2YkRKu_-SD2DPdE,43.046573,-76.141454,Redfield's Restaurant
41,-76.15703,43.049185,42,Erie Canal Themed Poster,Mural,"346 W. Fayette Street Syracuse,NY",43.049185,-76.15703,Grant,Alexandra,Shari Hemsley (poet),4x6 laminated Omegabond panel,,,Downtown,Downtown,Creekwalk between W. Washington and W. Fayette streets,,ChIJ0SPtPcfz2YkRC5tmQIR6fOM,43.04918699999999,-76.157084,Le Mélange
42,-76.139388,43.047086,43,Inventive Spirit,Sculpture,"800 block E Geness St Syracuse,NY",43.047086,-76.139388,Ferro,Tino,,Steel ,2021.0,2022.0,Eastside ,Eastside,,,ChIJPeAnE6Tz2YkRDlN8Br5KK6s,43.04687039999999,-76.13972629999999,Franco's Pizzeria and Deli
43,-76.157268,43.055394,44,Onondaga Creekwalk Poster,Mural,"Creekwalk (Franklin Square) Syracuse,NY",43.055394,-76.157268,Thomas,Cecily,Jeffrey Corney (poet),4x6 laminated Omegabond panel,2022.0,2022.0,Franklin Square,Franklin Square,on concrete sidewall of ramp leading up to Franklin Square from Creekwalk,,ChIJwTG998nz2YkRfJngrKfh1EM,43.0572339,-76.15624869999999,PressRoom Pub
44,-76.138537,43.065738,45,Project C-Inspiration Through Art,Mural,"Schiller Park Community Center  Syracuse,NY",43.065738,-76.138537,Walker ,Ally ,,,2022.0,2022.0,Northside,Northside,3 sides of the center,,ChIJRdb_RVHy2YkRdfdnzR15nF4,43.0657121,-76.1385277,Riley's
45,-76.147329,43.046178,46,Palladium,Monument,"555 South State St Syracuse,NY",43.046178,-76.147329,Lunt,Mary Lou,~,,,2002.0,Downtown,Municipal District,In front of the Onondaga County Justice Center,,ChIJX3H3h7zz2YkR4byy_DQ-dZ8,43.04618139999999,-76.1462133,City Hall Cafe
46,-76.155051,43.0499,47,"One, Two, Three",Sculpture,"100 South Clinton St Syracuse,NY",43.0499,-76.155051,Lewitt,Sol,~,Painted Aluminum,,1979.0,Downtown,Downtown,James M. Hanley US Courthouse and Federal Building,,ChIJYdKsY7jz2YkR_zIAnclsnsc,43.0502691,-76.154009,Saltine Warrior Sports Pub
47,-76.123888,43.047337,48,Jerry Rescue Mural,Mural,"1641 E Genesee St Syracuse,NY",43.047337,-76.123888,~,,Community Members assisted,,,,Eastside,Near Eastside,"On Richmark Building, opposite corner from Logan Park",,ChIJ-RvUbA_z2YkRQ_HWk5cgR5U,43.0474626,-76.12397229999999,Burger King
48,-76.165307,43.026855,49,Mountain Goat Monument,Sculpture,"Onondaga Park Syracuse,NY",43.026855,-76.165307,BuMann,Sharon,,Bronze & Stone,2015.0,2017.0,Southside,Strathmore,Little Round Top,,ChIJB3-Hx_fz2YkRFFpP-j7h5Wk,43.0285453,-76.16271320000001,Tanya's Spanish Restaurant
49,-76.149301,43.04629,50,East Onondaga Mural,Mural,"262 East Onondaga St Syracuse,NY",43.04629,-76.149301,Matlow,Andy,Syracuse Art Squad,,,,Downtown,Columbus Circle,South of Columbus Circle on east facing wall of the Cathedral Parish Center,,ChIJr2U9p77z2YkRgCZSK3ElDaE,43.0462953,-76.1495107,Tang Flavor Chinese Food Square
50,-76.156092,43.051069,51,Spirit of Light,Sculpture,"300 Erie Blvd West Syracuse,NY",43.051069,-76.156092,King,Marvin L.,Bley & Lyman Architectural Firm,Stainless Steel,1932.0,1932.0,Downtown,Downtown,,,ChIJb383v8fz2YkRPQbxVVIunNI,43.051441,-76.1567877,Cafe Kubal
51,-76.145877,43.047616,52,Untitled Sculpture,Sculpture,"444 East Genesee St Syracuse,NY",43.047616,-76.145877,Calcagnino,Steven,~,Concrete,,1975.0,Downtown,Municipal District,On the McCarthy Avenue side of the building at 444 East Genesee Street,,ChIJ0Ujncrvz2YkRvF_Z63udBbA,43.0477524,-76.14590129999999,City Hall Cafe
52,-76.141213,43.051894,53,Waiting for the Night Train,Sculpture,"400 Burnet Ave Syracuse,NY",43.051894,-76.141213,Epolito,Duke,Larry Zankowski,"Plaster, Polyurethane, Fiberglass",,1982.0,Eastside,Near Eastside,"Old railroad tracks off Erie Blvd, where Time Warner Cable, News 10 Now is located ",,ChIJWcIaoK_z2YkRnUeU8MFnVoc,43.0520063,-76.140743,Laci's Tapas
53,-76.149001,43.051012,54,Burrow Boy,Monument,"301-31 Erie Blvd East Syracuse,NY",43.051012,-76.149001,Tischler,Tom,,Onondaga Limestone and Bronze,,1987.0,Downtown,Hanover Square,Across from the Erie Canal Museum,,ChIJydGNHLrz2YkRH7b3e67w5Ac,43.0511095,-76.1490649,Across The Hall Café
54,-76.119466,43.040378,55,Community Mural,Mural,"South Beech St and Westcott St Syracuse,NY",43.040378,-76.119466,Moody,Michael,,Paint on Cement,,1997.0,Eastside,Westcott,At corner of Beech and Westcott Streets,,EjFTIEJlZWNoIFN0ICYgV2VzdGNvdHQgU3QsIFN5cmFjdXNlLCBOWSAxMzIxMCwgVVNBImYiZAoUChIJb1HtkxLz2YkRNfjYfLDDTkMSFAoSCW9R7ZMS89mJETX42Hyww05DGhQKEglJmK31DvPZiRHTL3U5anPCFRoUChIJm9m_QG3z2YkR1d6lrJdrx3IiCg2MZ6cZFeQgodI,43.040142,-76.119222,Las Delicias
55,-76.119129,43.041605,56,Boom Babies,Mural,"Westcott St and Harvard Pl Syracuse,NY",43.041605,-76.119129,,,,Paint on Cement,,,Eastside,Westcott,,,EjFIYXJ2YXJkIFBsICYgV2VzdGNvdHQgU3QsIFN5cmFjdXNlLCBOWSAxMzIxMCwgVVNBImYiZAoUChIJR17aZRLz2YkRqwiUZxo-YcsSFAoSCUde2mUS89mJEasIlGcaPmHLGhQKEgkR8U-3E_PZiRES_X20xQUVgxoUChIJm9m_QG3z2YkR1d6lrJdrx3IiCg2inKcZFSAcodI,43.041501,-76.119344,Mom's
56,-76.118779,43.041378,57,Mom's Diner Mosaic,Mosaic,"110 Harvard Pl Syracuse,NY",43.041378,-76.118779,,,,"Glass, Cement, Paint",,,Eastside,Westcott,Backside of Mom's Diner,,ChIJ2X20XRLz2YkRFwPcOFPtXuM,43.0413467,-76.11878089999999,Recess Coffee
57,-76.151209,43.048499,58,S.ALT City,Mural,"300 S. Warren Street Syracuse,NY",43.048499,-76.151209,Snyder,Brett,,Acrylic,2011.0,2012.0,Downtown,Downtown,West side of Lemp Jewelers Building,,ChIJY2SMFbnz2YkR-t_TcaoOOdA,43.0485294,-76.151065,Soup R Salads
58,-76.154257,43.061094,59,Lock Alley Mural,Mural,"741 N Salina Street Syracuse,NY",43.061094,-76.154257,Echo,,,Acrylic,2014.0,2014.0,Northside,North Salina Street,Northwest facing wall at the rear of the building facing a parking lot,,ChIJzUSJRrXz2YkR33NhdZEvSIU,43.0611061,-76.1540426,Exclusives Bar And Restaurant
59,-76.119923,43.041619,60,Reach,Mural,"508-510 Westcott Street Syracuse,NY",43.041619,-76.119923,Echo,,,Acrylic,2015.0,2015.0,Eastside,Westcott,East facing wall in interior courtyard,,ChIJ84X3bxLz2YkRtlCapvUi4bw,43.0416585,-76.11960540000001,Saint Urban Wine Bar
60,-76.156179,43.048497,61,You've Made It,Mural,"321  W Fayette Street Syracuse,NY",43.048497,-76.156179,Bocksel,Jon,,Acrylic,2016.0,2016.0,Downtown,Armory Square,West and east facing walls of 321 W Fayette St,,ChIJqcngRcfz2YkRgtpp0Yp1qCc,43.0485155,-76.1562509,Le Mélange
61,-76.158146,43.048973,62,Always Advance,Mural,"350 W. Fayette Street Syracuse,NY",43.048973,-76.158146,Luke,Josh,Meredith Kasabian,Acrylic,2017.0,2017.0,Downtown,Armory Square,West façade of 350 W. Fayette Street,,ChIJv9DwI8fz2YkRpjwY-eWCYlw,43.0489273,-76.1576323,Kasai
62,-76.161227,43.056433,63,Salmon Run Mosaic,Mural,"Onondaga Creek Walk Syracuse,NY",43.056433,-76.161227,Hirsch,Jillian,,Ceramic tiles,2017.0,2017.0,Lakefront,Lakefront,Pedestrian bridge sidewall at 507 Plum Street ,,ChIJdQIYzM7z2YkRPDWdArRTyEc,43.0584324,-76.1647887,The Preserve at 405
63,-76.171451,43.045117,64,Bicylce Capital of the World,Mural,"214 S. Geddes Street Syracuse,NY",43.045117,-76.171451,Roberts,Jacob,,Acrylic,2018.0,2018.0,Westside,Westside,South façade of building,,ChIJZ-uC893z2YkRmRwCLyIXJ5E,43.0451783,-76.1712122,Ponchito's Taqueria
64,-76.170632,43.046069,65,"1022 W, Fayette St Mural",Mural,"1022 W. Fayette Street Syracuse,NY",43.046069,-76.170632,Stetz,Eugene,,Acrylic,2018.0,2018.0,Westside,Westside,East façade of building,,ChIJxQi5ot3z2YkRpwPcb7zZ4co,43.0461606,-76.1703471,Ponchito's Taqueria
65,-76.141028,43.048774,66,Be Yourself/Umbrellove,Mural,"713 E. Fayette Street Syracuse,NY",43.048774,-76.141028,Walker ,Ally ,,Acrylic,2019.0,2020.0,Eastside,Eastside,East and west facades of building,,ChIJLWKsBqXz2YkRFMXm_lEQscs,43.0487659,-76.1410322,XO Taco
66,-76.14212,43.071981,67,Diversity Lives Heree,Mural,"1415 Highland Street Syracuse,NY",43.071981,-76.14212,various,,,Acrylic,2019.0,2020.0,Northside,Northside,West façade of building,,ChIJ4-SS51ry2YkR3n1tRurCS9w,43.0718644,-76.1420983,Peppino's Restaurant & Catering
67,-76.119034,43.041191,68,Middle Eastern Dreams,Mural,"501-507 Westcott Street Syracuse,NY",43.041191,-76.119034,Odeh,Nada,,Acrylic,2020.0,2020.0,Eastside,Eastside,South façade of building,,ChIJUVY4ZxLz2YkRE2o54hK3lYo,43.04139410000001,-76.11910189999999,Munjed's Middle Eastern Cafe
68,-76.152398,43.058666,69,Lets Fly Syracuse,Mural ,"547-53 N Salina St Syracuse,NY",43.058666,-76.152398,Colello,Jacqueline,,latex paints,2021.0,2021.0,Northside,Northside,northside of property,,ChIJS2mfVLTz2YkR5zHWFhby8CQ,43.0590194,-76.152204,Francesca's Cucina
69,-76.15657,43.048515,70,Welcome Downtown,Mural,"327 W. Fayette St Syracuse,NY",43.048515,-76.15657,Walker ,Ally ,,latex paints,2021.0,2021.0,Downtown,,,,ChIJFRw8Scfz2YkR3DeiFfb3cAc,43.0484223,-76.1564815,Decir Algo
70,-76.199771,43.059561,71,Eva's Mural,Mural,"1305 Milton St Syracuse,NY",43.059561,-76.199771,Colello,Jacqueline,,latex paints,2022.0,2022.0,Westside,Westside,East wall of property,,ChIJjaHO63Lx2YkRSogwHTYVTGc,43.0594843,-76.1998141,Eva's European Sweets
71,-76.162124,43.047823,72,And Still We Rise,Mural,"509 W Fayette St Syracuse,NY",43.047823,-76.162124,Valenzuela,Cayetano,,paint,2022.0,2022.0,Westside,Westside,West façade of building,,ChIJh59d4cPz2YkRnvTZmIUEu_A,43.0475533,-76.1610395,Clarke's Cafe
72,-76.120329,43.049369,73,Three Seas for Syracuse,Mural,"1732 Erie Blvd E Syracuse,NY",43.049369,-76.120329,Burgevin,Daniel,,latex paints,,2022.0,Eastside,Eastside,West façade of the building,,ChIJo5eztRrz2YkRiPmn1Nn9lzc,43.0493573,-76.1201955,Mi Casa Grande
73,-76.146012,43.049725,74,This Must Be The Place,Mural,"441 E. Washington Street Syracuse,NY",43.049725,-76.146012,Thomas,Cecily,,,2022.0,2022.0,Downtown,Downtown,West facing wall,,ChIJM5lr8Lrz2YkRlq9oWLw7ZEQ,43.0496881,-76.1459141,Jamaika Flava
74,-76.152691,43.044865,75,Salt City Market Mural,Mural,"480 S. Salina Street Syracuse,NY",43.044865,-76.152691,Linsner,Audra,,,2022.0,2022.0,Downtown,Downtown,,,ChIJ2_8Eq7_z2YkRiLdoyxd0HpA,43.04491110000001,-76.1525053,Cake Bar
75,-76.112995,43.068128,76,We are the Village within the City,Mural,"2384 James Street Syracuse,NY",43.068128,-76.112995,Bingham,Daniel,,,2022.0,2022.0,Eastwood,Eastwood,east wall of Palace Theater,,ChIJFxDu5-jy2YkRLsO4o8O6KfY,43.0683336,-76.11308869999999,KrunchBird
76,-76.150402,43.039379,77,Southside Mural Project,Mural,"Taylor Street Bridge St over S. Salina St Syracuse,NY",43.039379,-76.150402,Ladd,London,,Acrylic,2017.0,2017.0,Southside,Southisde,"Bridge underpass walls, both sides of S. Salina St",,ChIJ6TfiXQTx2YkRQVeX9SG4n6k,43.0628761,-76.2173751,New Long Cheng
77,-76.148531,43.047617,78,Syracuse Firsts,Mural,"333 E Onondaga St Syracuse,NY",43.047617,-76.148531,Never,Jonas,,spray paint on cement block,,,Downtown,Downtown,East façade of Monroe Building,,ChIJ50Fs8Lvz2YkRBpfiB2DggM0,43.0474839,-76.1486192,City Hall Cafe
78,-76.155383,43.047776,79,24 Second Clock,Sculpture,"290 West Jefferson St Syracuse,NY",43.047776,-76.155383,,,,,,2005.0,Downtown,Armory Square,Corner of S. Franklin & W. Jefferson,,ChIJS7a-qsDz2YkRu0FeBbfq_6k,43.047649,-76.15525099999999,Margaritas Mexican Cantina
79,-76.152557,43.04935,80,Whales Tale,Sculpture,"200-14 S Salina St Syracuse,NY",43.04935,-76.152557,Nelson,Miriam,,Painted Aluminum,2003.0,2021.0,Downtown,Downtown,Perseverance Park,,ChIJaa5J5bjz2YkRpA9Lc6FSx3U,43.0492909,-76.152931,Aloha Japanese Bento
